Costume	Middle	Celeb
הפנדה	זה בדוק	דביר בנדק
הפלאפל	זה בוודאות	ריק ומורטי
המכונת דיסקו	זה כנראה	אלי אילדיס
השפירית	זה הימור אבל כנראה	ניקול ראידמן
הקרנף	לפי הרמזים נראה כמו	בנימין נתניהו
הכריש	יש מצב שזה בכלל	בני גנץ
הפופקורן	נראה כמו	המלך אחשוורוש
המנה סביח	זה בטוח לא	שם טוב לוי
הספרטני	היה חולם להיות	שם טוב האבי
הפסנתר כנף	מצב גדול שזה	ביברס נתאכו
התרנגול	לא נראה אבל זה	מירי רגב
הדרקון	שקוף שזה	מני בגר
השור	מאה אחוז זה	אורן נהרי
היעל	קל שזה	שילה פרבר
הבמבי	אין מצב שזה לא	קרני פוסטל
המלפפון החמוץ	לפי המבנה גוף זה	ג'וזי כץ
הפטריה	לפי ההתלהבות זה בטח	שלמה יידוב
החסידה	רמזים קלים זה בטוח	ירון אנוש
הבובת פופ	הכי שקוף בארץ שזה	אבי טולדנו
השור	אחד הקלים שהיו זה	דור ציגנבוים
הדב	אחד הקשים אבל מתאים שזה	אלברט אילוז
הקקטוס	זה בדוק בדוק בדוק	גבי פאקינג עמרני
הקרמבו	לפי מקורות זרים זה	אמליה דואק
התמונה של הבאבא סאלי	אתם לא תאמינו אבל זה	חזי לפלסיאן
הפוסטר של מייקל ג'קסון	הוא... היא... הוא...	יפעת שאשא ביטון
הבננה בפיג'מה		אגדת הכדורסל דורון ג'מצ'י
הסניף דואר		עודד קטש לפני הפציעה
הקלף טאקי		דביר בנדק לפני הדיאטה
הבקבוק אלכוג'ל		פודקאסטר שאף אחד לא מכיר
האופטלגין		ילד שעושה סטרימים של פורטנייט
הספר אלגברה		אלונה טל בצעירותה
השקית קפה שחור		רוני קובן
הנוטרילון 2		לוקאץ׳
המטוש המשומש		גדי יברקן
החגב		הרב עובדיה בלי החצאית
הערצב		אביבית בר זוהר
החדקונית		משה דיין
הצנצנת נוטלה		ליאור דיין
האטלס כרטא		ליאור רז
הכאפייה		רזי ברקאי
הבוסטר		גפן ברקאי
הנרגילה סורית יצוקה		רינו צרור
השידת החתלה		סייבורג מנשה נוי
המעבד 8086		קרן מור
הבס פנדר		קרן פלס
הפדל דיסטורשן		אבי טולדנו
הסטרימר		חיים אתגר לפני הניתוח
השניצל תירס		חיים יבין
הרב קו		קטי דור
השלט הוט		ערן זרחוביץ׳
השלט יס		מאיר ישראל
הראוטר		שלמה ארצי
הגבינת עמק		גילה גמליאל
ששבש		אסנת וישינסקי
הסניף איקאה		נתן שרנסקי
הכנאפה		עוזי פוקס
הבקלאווה		אפרת רייטן
החנות סטוק		סופי צדקה
הצמיג		יעל בר זוהר
הכרטיס אשראי		תמיר קמחי
הלוח מחוונים		טינקרבל
הכותל		אוהד נהרין
האינטרפוץ		בני גורן
הקלאץ׳		גבי יקואל
היומנוער של זבנג		אביבה אבידן
העט פילוט v7		ערן צור
העיפרון חודים 0.4		אלון אבוטבול
העיפרון חודים 0.5		מירב גרובר
העיפרון חודים 0.7		רועי בר נתן
הפאקט מרלבורו		אייל קיציס
הטבק		אלון אולארצ׳יק
הריזלה		אפרים שמיר
האזניות בוז		דני סנדרסון
התמי ארבע		גידי גוב
החרצית		מאיר אריאל
העיפרון		יואב קוטנר
המנגל		יואב צוקר
המזדה שלוש		שרון טייכר
המשאבת חלב		עירית ענבי
האהיל		גיא פלג
המזרן		אדווה דדון
הארנק		אסתר עופרים
הגיגית		חיים אתגר
היחמור		תם אהרון האשכנזי
הנמר		להקת כוורת לפני הפירוק
הפקינז		להקת כוות אחרי האיחוד
הפתק של הדואר		אליקום הכהן
המקבוק אייר		אלינור אהרון
המטען טייפ סי		מיטל טרבלסי
הארון קבורה		גיל סמטנה
הטלית		אהוד בנאי
התפילין		משה בר סימן טוב
הציצית		איתמר גרוטו
הציצית קטן		איתמר ברוטו
השזלונג		דקלון
הדגמח		זוהר ארגוב
הסנדל שורש		זוהר ישראל
הקיר גבס		עופר נחשון
המינידיסק		סיגל שחמון
האורגן אורות		גיל ריבה
המזרק שוקולד		רות גונזלס
המפוחית		ירון לונדון
הצ׳לו		רגב הוד
הדבורה		צביקה פיק
הדבור		קורין אלאל
הצרעה		קרן מרציאנו
הכבשה		אבי רצון
השעועית		שמעון פרנס
השקית סנפרוסט		יוחנן דנינו
המזנון		בני גנץ בדרגת סרן
הפתי בר		גבי אשכנזי
החביתה		יהורם טהרלב
הסושי		נועם רותם הזמר
הרדיאטור		ליאת אחירון
התחתוני טנגה		שוש עטרי
דארת' ויידר		גלי עטרי
		שולה זקן
		אהוד אולמרט
		אהוד ברק
		בני בגין
		מנחם בגין
		יצחק שמיר
		יצחק רבין
		דוד בן גוריון
		לאה שבת
		גולדה מאיר
		שלומי ארבייטמן
		דודו אוואט במדי צסקא מוסקבה
		דן איינבינדר
		סתיו אלימלך
		שביט אלימלך
		מאור מליקסון
		איתי שכטר
		אריק בנדו
		אייל ברקוביץ'
		יהב גורפינקל
		בוני גינצבורג
		שייע גלזר
		אסי דומב
		שרון רוטר
		אליענה בקייר
		צ'ינו אלמיזרק
		אלון חמאווי
		פיראס חורי
		מכרם חורי
		איתי טיראן
		אילנה ברקוביץ'
		מוטי דיכנה
		שפרה קורנפלד
		גל אוחובסקי
		אלי גורשטיין
		ירדן בר כוכבא
		מיקי קם
		שרון אלכסנדר
		אילן דר
		אורי גבריאל
		זאב רווח
		גל זייד
		דני שטג
		יואב זיו
		לירן שטראובר
		אופיר דודזאדה
		ערן זהבי
		אסי רחמים
		דור מיכה
		עודד גביש
		תומר חמד
		מירה עוואד
		אחינועם ניני
		אורלי ויינרמן
		עינב בובליל
		אריה מוסקונה
		שייקה לוי
		רבקה מיכאלי
		אורי זוהר
		טלי קרקוקלי
		ליטל סמדג׳ה
		אורן סמדג׳ה
		בני ברוכים
		טל טירנגל
		אסי כהן
		עלמה זק
		אלי פיניש
		דיאנה גולבי
		סשה גריקוב
		לירון לב
		נמרוד לב
		גילת אנקורי
		שירי מחתונמי
		יוגב מחתונמי
		דניס מחתונמי
		הדס מורנו
		מיכל ינאי
		שי אביבי
		גיל ססובר
		איתי שגב
		אסף אשתר
		יעקב אחימאיר
		גיא פניני
		מוטי ארואסטי
		יותם הלפרין
		דורון שפר
		נדב הנפלד
		רוני מאנה
		הבת של רוני מאנה
		גל מקל
		גל תורן
		דן תורן
		יעל ארד
		לימור לבנת
		רובי ריבלין
		אבנר גדסי
		אדם
		יעל דואני
		שגב משה
		סנדרה רינגלר
		זאב אלקין
		נד סטארק
