type	establishment_prefix	establishment_suffix	town_prefix	town_suffix
וובינר	וידאו צ'אט - 	אהבה	בעזרת	ביטקוין
סדנת	וירטואל - 	שנאה	באמצעות	מיחשוב ענן
כנס	זום - 	אילוף חתולים	לפי עקרונות	ביג דאטה
מפגש	BlueJeans  - 	שזירת פרחים	בלי	מאשין לרנינג
כינוס	סקייפ -	שיווק מטריציוני	ללא	AI
מפגש לימודי	גוגל  - 	חיות מחמד	עם 	ג'אווהסקריפט
מיטאפ	פייסבוק לייב - 	אפיה ללא גלוטן	בתמיכת	פייתון
אורגיית	Discord - 	המבורגר טבעוני	בסיוע	תיקשור
קורס	ווצאפ צ'אט - 	מסיבת הדבקה	בתקופת	קורונה
הרצאת	Webex  - 	תרמית פירמידה	בראי	קוד פתוח
תוכנית	Moodle  - 	האיידס של מג'יק ג'ונסון	עם מוטיבים של	לינוקס
יום עיון	CitriX  - 	דונאלד טראמפ	עם פונקציות של	Notepad
	Microsoft Teams  -	סגידה לביל גייטס	על בסיס	Github
	אינטרנט - 	חינוך ביתי לכלבים	מבוסס	TikTok
	אונליין - 	צבעים	על ידי	נטוורקינג
	דיגיטל - 	טיגון חצילים	"
"	קהילות
	- ICQ 	סביח		מרציפן
	MSN מסנג'ר -	רוחניות		אלגוריתמים
		דיבוג פלפלים צהובים		האסכולה הפמיניסטית
		פלפולי גמרא		VC
		הרכבת רהיטי איקאה		תוכנית פנסיונית
		בניית רקטות ממרציפן		קוברנטיס
		שחייה צורנית		אני העצמי
		טנטרה למתחילים		סאבלימנל והצל
		בניית משפך לידים		הסייבר
		עיצוב ציפורניים בדמויות דיסני		הגנת קצה
		אכילה רגשית		חנוך דאום
		ציור באקסל		HTML
		ליטוף דגי זהב		גיטהאב
		לדינו למתחילים		Docker
		מיקרו טייני קופי		קונטיינרים
		סטוריטלינג למנעולנים ורואי חשבון		QA
		משא ומתן עם תינוקות		אופציות בינאריות
		סייבר סייבר		שיווק מטריציוני
		ניהול ישיבות בעמידה		משפך לידים
		קישוט כרטיסי סיבוס		CRM
		ניהול פרויקטים ממוקד אג'ייל		קריפטולוגיה
		חשיבה מחוץ לקופסה בתוך המסך		חישוב מבוזר
		חוויית משתמש לחגבים		מסדי נתונים
		יוגה לאחור		רשתות עצביות
		רייקי דיגיטלי		פוטושופ
		כתיבה יוצרת לתינוקות 		בלשנות חישובית
		היפנוט מתכנתים		תורת המשחקים
		זיוף דרכונים		יובל נח הררי
		בניית מטוסי נייר		שפות פורמליות
		פול סטאק למשפטנים		צרות בהייטק
		גיוס עובדים		חינוך גופני
		מיתוג מעסיק 		דפי נחיתה
		אינפי בציורים		גוגל אנליטיקס
		אלגוריתמיקה מצרית קדומה		UI
		תכנות לעיוורי צבעים		UX
		דיבוג 		טאבולה
		סלפי למנהלים		אאוטבריין
		יצירת גיפים לג'וניורים		PPC
		קואצ'ינג לבובות		גוגל אדוורדס
		טירגוט קהלים		רימרקטינג
		קופירייטינג לגיל השלישי		SEO
		צביעת קהלים בצבעים פסטליים		פיקסל
		תמחור נפשות		פולינומים
		אסטרטגיה שיווקית		
