date_in_year,deaths,html,total_deaths
0401,18,X,18
0402,14,X,32
0403,19,X,51
0404,9,X,60
0405,17,X,77
0406,17,X,94
0407,16,X,110
0408,18,X,128
0409,21,X,149
0410,24,X,173
0411,24,X,197
0412,20,X,217
0413,15,X,232
0414,21,X,253
0415,13,X,266
0416,11,X,277
0417,20,X,297
0418,18,X,315
0419,18,X,333
0420,26,X,359
0421,18,X,377
0422,23,X,400
0423,21,X,421
0424,10,X,431
0425,10,X,441
0426,12,X,453
0427,16,X,469
0428,23,X,492
0429,8,X,500
0430,14,X,514
0501,16,X,530
0502,24,X,554
0503,13,X,567
0504,12,X,579
0505,7,X,586
0506,2,X,588
