age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality,fame_score
85,1921, natural causes,January,2006, businessman chairman of IBM (1973–1981),Frank Cary,American,6030.0
49,1957, murdered,January,2006, musician (House of Freaks Gutterball),Bryan Harvey,American,5867.0
64,1942, Alzheimer's disease,January,2006, baseball player (Oakland Athletics),Paul Lindblad,American,6711.0
86,1920, Alzheimer's disease,January,2006, politician Representative from Oregon (1957–1961),Charles O. Porter,American,6330.0
82,1924, cancer,January,2006, nightclub owner (Tropicana Club),Ofelia Fox,Cuban,4353.0
52,1954, stroke,January,2006, New Guinean politician Prime Minister (1997–1999),Sir William Skate,Papua,6383.0
31,1975, probably pulmonary embolism,January,2006, footballer (soccer player),Gábor Zavadszky,Hungarian,4175.0
31,1975, from injuries sustained in a biking accident,January,2006, football (soccer) player,José Luis Sánchez,Argentine,5103.0
55,1951,,January,2006, inventor (KISS rebreather),Gordon Smith,Canadian,3475.0
70,1936, lung cancer,January,2006, actor (The Guiding Light),Don Stewart,American,3936.0
39,1967, heart attack,January,2006, DJ prominent figure in trance music and member of (Jam & Spoon),Mark Spoon,German,4321.0
80,1926,,January,2006, stage (Suddenly Last Summer) and television actress (Another World),Anne Meacham,American,5059.0
83,1923,,January,2006, broadcaster and politician,Gordon Atkinson,Canadian,7454.0
85,1921, heart failure,January,2006, actress (Lolita The Poseidon Adventure),Shelley Winters,American,28353.0
90,1916, doctor to Josip Broz Tito,January,2006, physician,Stjepan Steiner,Croatian,6609.0
90,1916,,January,2006, Financial Secretary of Hong Kong (1961–1971),John James Cowperthwaite,British,8159.0
65,1941,,January,2006, academic and politician (chairman of SHP)[citation needed],Aydın Güven Gürkan,Turkih,8334.0
94,1912,,January,2006, Republican United States Representative from Nebraska (1975–1991),Virginia Smith,former,7425.0
92,1914,,January,2006," humorist (""Peter Simple"")",Michael Wharton,British,9774.0
41,1965, complications from a long illness,January,2006, MLB player,Carlos (Café) Martínez,former,6172.0
75,1931,,January,2006, of Germany (Bundespräsident) from 1999 - 2004,Johannes Rau,President,15807.0
76,1930,,January,2006, Deputy Chief Minister of Gibraltar (1956–1984),Peter Isola,Gibraltarian,5480.0
53,1953,,January,2006, founder of the Broadcast Film Critics Association (BFCA),Paul Clinton,CNN,3264.0
38,1968, complications from drug abuse,January,2006, punk rock singer (Rich Kids on LSD),Jason Sears,American,4466.0
78,1928, U,February,2006, politician,Ronald B. Cameron,American,4677.0
78,1928,,February,2006, British Conservative Member of Parliament,John Woollam,former,3289.0
82,1924, and radio host,February,2006, actor (Grandpa Munster on The Munsters) Green Party political candidate restaurateur,Al Lewis,American,14506.0
79,1927,,February,2006, amyotrophic lateral sclerosis (Lou Gehrig's Disease),Joe McGuff,American,5446.0
96,1910,,February,2006, judge on the U,Max Rosenn,American,5481.0
76,1930, murdered,February,2006, TV writer director (Curious George animated films),Alan Shalleck,American,5760.0
59,1947,,February,2006, computer scientist,Gilles Kahn,French,2644.0
80,1926, Alzheimer's disease,February,2006, American football player (Pittsburgh Steelers) and member of the Pro Football Hall of Fame,Ernie Stautner,Bavarian-born,18435.0
68,1938,,February,2006, Prime Minister of Serbia (1994–2000),Mirko Marjanovic,Serbian,10400.0
81,1925, complications from aspiration pneumonia and lung cancer,February,2006, actor (The Andy Griffith Show Three's Company),Don Knotts,American,28065.0
80,1926, poor health,February,2006, Wu Professor of Chinese Studies Princeton University (1980–1994) creator of the 15 volume The Cambridge History of China,Denis Twitchett,Gordon,6120.0
81,1925, complications from cancer,February,2006, actor (Gunsmoke McCloud),Dennis Weaver,American,19083.0
83,1923, natural causes,February,2006, actor (Kolchak: The Night Stalker A Christmas Story),Darren McGavin,American,19989.0
89,1917,,March,2006, Democratic lieutenant governor of New Mexico (1963 — 1966),Mack Easley,former,3944.0
83,1923, prostate cancer,March,2006, Democratic United States Representative from Michigan (1973–1977),Richard Vander Veen,former,11253.0
89,1917,,March,2006, Bishop of La Crosse (1983–1994),John Joseph Paul,American,6639.0
45,1961, stroke complications,March,2006, baseball player (Minnesota Twins) and member of the MLB Hall of Fame,Kirby Puckett,American,40157.0
97,1909,,March,2006, Wèi Lùshī 魏璐诗) Austrian-Chinese journalist and member of the Chinese People's Political Consultative Conference,Ruth Weiss,(also:,4633.0
79,1927,,March,2006, college football coach (Oklahoma State University),Floyd Gass,American,6425.0
88,1918,,March,2006, Democratic United States Representative from California (1956–1978),John Joseph McFall,former,6913.0
93,1913, cancer,March,2006, film director (Shaft),Gordon Parks,photographer,45546.0
81,1925,,March,2006, actor (Once Upon a Mattress) [70],Joseph Bova,American,3031.0
67,1939,,March,2006, novelist and founding editor of TriQuarterly,Charles Newman (author),American,9272.0
80,1926, chronic obstructive pulmonary disease,March,2006, actress (Plaza Suite Cocoon),Maureen Stapleton,American,27546.0
63,1943, plane crash,March,2006, game show host (Press Your Luck),Peter Tomarken,American,9873.0
87,1919, heart failure,March,2006, Prime Minister of Greece (1980–1981),Georgios Rallis,former,24521.0
86,1920, cancer,March,2006, of Pennsylvania House of Representatives (first African-American Speaker in any U.S. state government),K. Leroy Irvis,Speaker,8952.0
92,1914,,March,2006, (Australia) politician [109],Sir Wallace Rae,Queensland,3634.0
80,1926, and World War II veteran,March,2006, actor (Zorro) fencer,Britt Lomond,American,4126.0
82,1924,,March,2006, Labour MP for Bedford (1966–1970) [130],Brian Parkyn,British,3599.0
87,1919, (Dream Baby) for Roy Orbison et al,March,2006, country-western songwriter,Cindy Walker,American,15856.0
89,1917,,March,2006, film director (Tora! Tora! Tora! 20000 Leagues Under the Sea Soylent Green) [148],Richard Fleischer,American,10322.0
76,1930, heart attack,March,2006, country music star (Hee Haw),Buck Owens,American,27173.0
61,1945, cerebral hemorrhage [153],March,2006, politician,Anil Biswas (politician),Indian,3302.0
77,1929,,March,2006, television producer (Dark Shadows The Winds of War),Dan Curtis,American,8812.0
75,1931,,March,2006, Minister of Labour (1990–1991) and of Transport (2000–2002),Carlos Cat,Uruguayan,4296.0
78,1928, [176],March,2006, four time chief minister and defence minister of India during Indian Emergency (1975–77). [175],Bansi Lal,Haryana's,17447.0
84,1922, the General Secretary (1987–2000) and Vice-Chairman of the Cricket Society (2000–2001) [180],March,2006, administrator,Eric Budd,English,2519.0
85,1921,,March,2006, author and screenwriter (What Ever Happened to Baby Jane? Hush… Hush Sweet Charlotte),Henry Farrell,American,5607.0
80,1926, USA,March,2006," country singer/songwriter (""Don't Let Me Cross Over"" ""Just Over the Line"") longtime companion of William Little guitarist (Even Keel) of California",Penny Jay,American,4721.0
93,1913, National Champion (1954) [60],April,2006, cyclist,Hermann Schild,German,4367.0
81,1925, complications from brain haemorrhage,April,2006, film director (I Am Curious (Yellow)),Vilgot Sjöman,Swedish,11448.0
88,1918,,April,2006, (The Prime of Miss Jean Brodie),Dame Muriel Spark,British,15455.0
40,1966, [93],April,2006, noble epilepsy,Lord Eliot (Jago Eliot),English,6246.0
93,1913,,April,2006, author (The Taking of Pelham One Two Three) under the pseudonym of John Godey,Morton Freedgood,American,5743.0
50,1956, Lou Gehrig's disease,April,2006, television producer and director (The Shield),Scott Brazil,American,6027.0
88,1918,,April,2006, actor (As the World Turns),Henderson Forsythe,American,5563.0
89,1917,,April,2006, Physician to the Queen (1973-1981),Sir Richard Bayliss,British,6696.0
89,1917,,April,2006, Los Angeles police chief (1969–1978),Ed Davis,former,9710.0
84,1922,,April,2006, actress (The Third Man),Alida Valli,Italian,19245.0
84,1922,,April,2006, television writer and producer (The Love Boat Love American Style),Harvey Bullock,American,4114.0
93,1913,,April,2006, footballer (Hibernian F,Willie Finnigan,Scottish,2943.0
64,1942,,April,2006," TV and film actress (""The Adventures of William Tell"")",Jennifer Jayne,British,4566.0
91,1915, one of the largest Hassidic Jewish groups in the world,April,2006, Satmar,Grand Rabbi Moshe Teitelbaum (Satmar),of,15151.0
89,1917, stroke,April,2006, Canadian urban activist and author (The Death and Life of Great American Cities),Jane Jacobs,American-born,68714.0
42,1964,,April,2006, Major League Baseball pitcher (injuries due to a fall) [179],Russ Swan,former,4233.0
97,1909, natural causes,April,2006, economist and author (The Affluent Society),John Kenneth Galbraith,American,68825.0
105,1901,,April,2006, First World War veteran [206],William (Bill) Roberts,British,2667.0
65,1941,,May,2006, saxophonist (Johnny & the Hurricanes) [8],Johnny Paris,American,8399.0
88,1918, pulmonary hypertension,May,2006, theater actress director and teacher,Alejandra Boero,Argentine,3010.0
48,1958,,May,2006, Broadcasting Corporation (CBC) broadcaster,Lorne Saxberg,Canadian,4618.0
62,1944, heart attack,May,2006, television journalist (60 Minutes),Richard Carleton,Australian,8128.0
68,1938, pancreatic cancer,May,2006, voice actress and actress and tokusatsu legend (Kyoryu Sentai Zyuranger Mighty Morphin' Power Rangers etc.),Machiko Soga,Japanese,8556.0
73,1933,,May,2006, MHR for Division of Swan (1969–1975),Adrian Bennett,Australian,3758.0
94,1912,,May,2006, film writer and director (The Quatermass Xperiment Casino Royale) [56],Val Guest,British,14700.0
85,1921, stroke,May,2006, actor (Tom Corbett Space Cadet),Frankie Thomas,American,10616.0
92,1914,,May,2006, scriptwriter (Bedtime for Bonzo),Ted Berkman,author,4457.0
76,1930, complications of cancer,May,2006, actress/soprano (Man of La Mancha),Joan Diener,American,5561.0
76,1930, complications of cancer,May,2006, actress/soprano (Man of La Mancha),Joan Diener,American,5561.0
93,1913,,May,2006, football coach at University of Virginia (1965–1970),George Blackburn,head,9417.0
66,1940,,May,2006, author (Fat Girl - A True Story),Judith Moore,American,4127.0
84,1922,,May,2006, NSW MLC (1984–1995),Beryl Evans,Australian,3756.0
